Application_ID,Company,Role,Date_Applied,Status,Target_Base,Location,Stage,Last_Contact,Notes
APP-1000,Company_0,Role_0,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1001,Company_1,Role_1,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1002,Company_2,Role_2,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1003,Company_3,Role_3,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1004,Company_4,Role_4,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1005,Company_5,Role_5,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1006,Company_6,Role_6,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1007,Company_7,Role_7,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1008,Company_8,Role_8,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1009,Company_9,Role_9,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1010,Company_10,Role_10,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1011,Company_11,Role_11,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1012,Company_12,Role_12,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1013,Company_13,Role_13,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1014,Company_14,Role_14,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1015,Company_15,Role_15,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1016,Company_16,Role_16,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1017,Company_17,Role_17,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1018,Company_18,Role_18,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1019,Company_19,Role_19,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1020,Company_20,Role_20,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1021,Company_21,Role_21,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1022,Company_22,Role_22,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1023,Company_23,Role_23,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1024,Company_24,Role_24,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1025,Company_25,Role_25,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1026,Company_26,Role_26,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1027,Company_27,Role_27,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1028,Company_28,Role_28,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1029,Company_29,Role_29,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1030,Company_30,Role_30,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1031,Company_31,Role_31,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1032,Company_32,Role_32,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1033,Company_33,Role_33,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1034,Company_34,Role_34,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1035,Company_35,Role_35,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1036,Company_36,Role_36,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1037,Company_37,Role_37,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1038,Company_38,Role_38,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1039,Company_39,Role_39,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1040,Company_40,Role_40,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1041,Company_41,Role_41,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1042,Company_42,Role_42,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1043,Company_43,Role_43,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
